symbol
NSE:APARINDS-EQ
NSE:COCHINSHIP-EQ
NSE:HONAUT-EQ
NSE:STARHEALTH-EQ
NSE:DEEPAKNTR-EQ
NSE:LINDEINDIA-EQ
NSE:GVT&D-EQ
NSE:ALKEM-EQ
NSE:IRB-EQ
NSE:IDEA-EQ
NSE:BERGEPAINT-EQ
NSE:MOTILALOFS-EQ
NSE:WAAREEENER-EQ
NSE:MAZDOCK-EQ
NSE:BHEL-EQ
NSE:HDFCAMC-EQ
NSE:360ONE-EQ
NSE:KEI-EQ
NSE:NATIONALUM-EQ
NSE:KPITTECH-EQ
NSE:COROMANDEL-EQ
NSE:YESBANK-EQ
NSE:CUMMINSIND-EQ
NSE:NAM-INDIA-EQ
NSE:BDL-EQ
NSE:SUZLON-EQ
NSE:SUPREMEIND-EQ
NSE:MPHASIS-EQ
NSE:HUDCO-EQ
NSE:M&MFIN-EQ
NSE:TATATECH-EQ
NSE:COLPAL-EQ
NSE:ASHOKLEY-EQ
NSE:LTTS-EQ
NSE:APLAPOLLO-EQ
NSE:PREMIERENE-EQ
NSE:LTF-EQ
NSE:GMRAIRPORT-EQ
NSE:HINDPETRO-EQ
NSE:FORTIS-EQ
NSE:PRESTIGE-EQ
NSE:ASTRAL-EQ
NSE:MFSL-EQ
NSE:DIXON-EQ
NSE:PIIND-EQ
NSE:PAGEIND-EQ
NSE:LICHSGFIN-EQ
NSE:GODREJPROP-EQ
NSE:UPL-EQ
NSE:TATAELXSI-EQ
NSE:AIAENG-EQ
NSE:SUNTV-EQ
NSE:SOLARINDS-EQ
NSE:DALBHARAT-EQ
NSE:SBICARD-EQ
NSE:APOLLOTYRE-EQ
NSE:MRPL-EQ
NSE:NLCINDIA-EQ
NSE:PATANJALI-EQ
NSE:ACC-EQ
NSE:OBEROIRLTY-EQ
NSE:MAXHEALTH-EQ
NSE:BANDHANBNK-EQ
NSE:VOLTAS-EQ
NSE:SONACOMS-EQ
NSE:NIACL-EQ
NSE:NHPC-EQ
NSE:POLYCAB-EQ
NSE:BLUESTARCO-EQ
NSE:IRCTC-EQ
NSE:UNOMINDA-EQ
NSE:PHOENIXLTD-EQ
NSE:THERMAX-EQ
NSE:OLAELEC-EQ
NSE:TATAINVEST-EQ
NSE:OIL-EQ
NSE:POLICYBZR-EQ
NSE:ATGL-EQ
NSE:PAYTM-EQ
NSE:PETRONET-EQ
NSE:RVNL-EQ
NSE:ESCORTS-EQ
NSE:INDIANB-EQ
NSE:3MINDIA-EQ
NSE:TATACOMM-EQ
NSE:OFSS-EQ
NSE:AJANTPHARM-EQ
NSE:MEDANTA-EQ
NSE:GICRE-EQ
NSE:HINDZINC-EQ
NSE:EXIDEIND-EQ
NSE:FEDERALBNK-EQ
NSE:AWL-EQ
NSE:CONCOR-EQ
NSE:SCHAEFFLER-EQ
NSE:BANKINDIA-EQ
NSE:INDUSTOWER-EQ
NSE:MSUMI-EQ
NSE:AUROPHARMA-EQ
NSE:NTPCGREEN-EQ
NSE:MRF-EQ
NSE:BHARATFORG-EQ
NSE:MAHABANK-EQ
NSE:GLAXO-EQ
NSE:KALYANKJIL-EQ
NSE:ABFRL-EQ
NSE:COFORGE-EQ
NSE:MANKIND-EQ
NSE:LUPIN-EQ
NSE:AUBANK-EQ
NSE:MARICO-EQ
NSE:IDFCFIRSTB-EQ
NSE:GLENMARK-EQ
NSE:NYKAA-EQ
NSE:BIOCON-EQ
NSE:GLAND-EQ
NSE:NMDC-EQ
NSE:IGL-EQ
NSE:SAIL-EQ
NSE:SRF-EQ
NSE:SJVN-EQ
NSE:JSWINFRA-EQ
NSE:ABBOTINDIA-EQ
NSE:FLUOROCHEM-EQ
NSE:SYNGENE-EQ
NSE:JSL-EQ
NSE:IREDA-EQ
NSE:IPCALAB-EQ
NSE:BHARTIHEXA-EQ
NSE:GUJGASLTD-EQ
NSE:JKCEMENT-EQ
NSE:VMM-EQ
NSE:CRISIL-EQ
NSE:TORNTPOWER-EQ
NSE:UBL-EQ
NSE:ENDURANCE-EQ
NSE:KPRMILL-EQ
NSE:JUBLFOOD-EQ
NSE:LLOYDSME-EQ
NSE:ABCAPITAL-EQ
NSE:EMAMILTD-EQ
NSE:BALKRISIND-EQ
NSE:PERSISTENT-EQ
NSE:UNIONBANK-EQ
NSE:SUNDARMFIN-EQ
NSE:BSE-EQ
NSE:GODREJIND-EQ
NSE:TIINDIA-EQ
NSE:POWERINDIA-EQ
NSE:MUTHOOTFIN-EQ
