timestamp,open,high,low,close,volume
2025-05-19 03:45:00,97.55,105.55,87.05,96.3,497925
2025-05-19 04:00:00,96.35,100.95,87.7,93.55,385350
2025-05-19 04:15:00,93.5,96.8,90.3,92.4,224025
2025-05-19 04:30:00,92.4,95.25,84.75,86.0,398250
2025-05-19 04:45:00,85.6,88.85,83.0,86.95,331125
2025-05-19 05:00:00,86.95,90.25,84.0,90.0,114075
2025-05-19 05:15:00,90.05,90.7,85.2,86.4,156450
2025-05-19 05:30:00,86.6,88.85,86.15,88.65,144525
2025-05-19 05:45:00,88.0,89.5,85.85,88.65,88575
2025-05-19 06:00:00,88.6,91.75,87.1,91.0,102975
2025-05-19 06:15:00,90.85,93.1,88.5,91.45,112275
2025-05-19 06:30:00,91.15,99.0,90.95,97.15,265575
2025-05-19 06:45:00,98.0,101.75,91.05,92.6,222825
2025-05-19 07:00:00,92.5,94.35,91.15,92.15,81075
2025-05-19 07:15:00,92.2,93.65,87.5,88.0,161775
2025-05-19 07:30:00,88.0,95.2,86.65,93.4,107475
2025-05-19 07:45:00,93.2,95.1,89.0,90.65,138000
2025-05-19 08:00:00,90.95,96.0,89.15,94.5,137100
2025-05-19 08:15:00,94.05,98.05,93.7,97.75,185775
2025-05-19 08:30:00,97.25,114.75,97.15,107.95,569175
2025-05-19 08:45:00,107.95,110.55,101.45,106.2,284925
2025-05-19 09:00:00,106.0,109.95,102.5,104.5,165900
2025-05-19 09:15:00,104.1,111.7,103.9,107.0,179475
2025-05-19 09:30:00,106.8,108.0,98.15,107.4,327750
2025-05-19 09:45:00,107.4,108.0,103.4,104.0,294075
2025-05-20 03:45:00,97.95,97.95,79.05,91.4,728100
2025-05-20 04:00:00,92.0,96.0,84.85,93.3,592500
2025-05-20 04:15:00,93.4,110.7,93.3,100.3,743025
2025-05-20 04:30:00,100.3,105.0,94.55,94.55,288975
2025-05-20 04:45:00,94.8,101.65,94.0,99.75,184575
2025-05-20 05:00:00,99.05,100.3,85.8,87.55,227700
